date,time,temperature,weather,wind_speed,wind_direction,humidity,barometer,visibility
20210101,00:00,-6,Clear,2,Wind blowing from 0° North to South,93%,1034,16
20210101,01:00,-7,Clear,2,Wind blowing from 0° North to South,100%,1034,16
20210101,02:00,-7,Clear,2,Wind blowing from 0° North to South,93%,1034,16
20210101,03:00,-7,Clear,2,Wind blowing from 0° North to South,93%,1033,16
20210101,04:00,-7,Clear,2,Wind blowing from 170° South to North,100%,1032,16
20210101,05:00,-8,Clear,2,Wind blowing from 260° West to East,100%,1033,16
20210101,06:00,-8,Clear,6,Wind blowing from 260° West to East,100%,1032,16
20210101,07:00,-8,Clear,2,Wind blowing from 280° West to East,100%,1032,16
20210101,08:00,-6,Clear,2,Wind blowing from 210° South-southwest to North-northeast,93%,1032,8
20210101,09:00,-2,Sunny,0,Wind blowing from 0° North to South,74%,1032,16
20210101,10:00,1,Sunny,2,Wind blowing from 0° North to South,56%,1032,16
20210101,11:00,2,Sunny,9,Wind blowing from 260° West to East,52%,1031,16
20210101,12:00,4,Passing clouds,9,Wind blowing from 230° Southwest to Northeast,42%,1030,N/A
20210101,13:00,4,Sunny,13,Wind blowing from 220° Southwest to Northeast,36%,1029,16
20210101,14:00,5,Passing clouds,9,Wind blowing from 230° Southwest to Northeast,39%,1028,N/A
20210101,15:00,5,Passing clouds,13,Wind blowing from 230° Southwest to Northeast,42%,1028,N/A
20210101,16:00,5,Sunny,13,Wind blowing from 220° Southwest to Northeast,42%,1028,16
20210101,17:00,3,Sunny,6,Wind blowing from 220° Southwest to Northeast,45%,1028,16
20210101,18:00,-1,Clear,6,Wind blowing from 180° South to North,75%,1028,16
20210101,19:00,0,Clear,2,Wind blowing from 190° South to North,64%,1028,16
20210101,20:00,-2,Clear,2,Wind blowing from 240° West-southwest to East-northeast,86%,1029,16
20210101,21:00,-3,Clear,2,Wind blowing from 280° West to East,86%,1029,16
20210101,22:00,-3,Clear,2,Wind blowing from 260° West to East,93%,1030,16
20210101,23:00,-4,Clear,2,Wind blowing from 220° Southwest to Northeast,100%,1030,16
20210102,00:00,-4,Clear,0,Wind blowing from 0° North to South,93%,1030,16
20210102,01:00,-5,Clear,0,Wind blowing from 0° North to South,100%,1030,16
20210102,02:00,-5,Clear,2,Wind blowing from 0° North to South,100%,1029,16
20210102,03:00,-4,Clear,2,Wind blowing from 160° South-southeast to North-northwest,93%,1029,16
20210102,04:00,-5,Clear,0,Wind blowing from 0° North to South,100%,1029,16
20210102,05:00,-6,Clear,0,Wind blowing from 0° North to South,100%,1029,8
20210102,06:00,-6,Clear,2,Wind blowing from 240° West-southwest to East-northeast,100%,1030,8
20210102,07:00,-7,Clear,2,Wind blowing from 280° West to East,100%,1030,6
20210102,08:00,-4,Ice fog,2,Wind blowing from 90° East to West,100%,1030,5
20210102,09:00,-1,Ice fog,2,Wind blowing from 0° North to South,93%,1032,5
20210102,10:00,3,Sunny,2,Wind blowing from 0° North to South,70%,1032,16
20210102,11:00,6,Passing clouds,6,Wind blowing from 100° East to West,46%,1031,N/A
20210102,12:00,6,Passing clouds,6,Wind blowing from 90° East to West,46%,1030,N/A
20210102,13:00,7,Passing clouds,9,Wind blowing from 60° East-northeast to West-southwest,46%,1029,N/A
20210102,14:00,7,Passing clouds,13,Wind blowing from 70° East-northeast to West-southwest,49%,1028,N/A
20210102,15:00,8,Passing clouds,17,Wind blowing from 70° East-northeast to West-southwest,40%,1028,N/A
20210102,16:00,7,Sunny,17,Wind blowing from 70° East-northeast to West-southwest,42%,1028,16
20210102,17:00,5,Sunny,13,Wind blowing from 70° East-northeast to West-southwest,49%,1029,16
20210102,18:00,3,Clear,9,Wind blowing from 80° East to West,56%,1030,16
20210102,19:00,2,Clear,17,Wind blowing from 70° East-northeast to West-southwest,65%,1029,16
20210102,20:00,3,Clear,17,Wind blowing from 80° East to West,52%,1030,16
20210102,21:00,1,Passing clouds,6,Wind blowing from 80° East to West,56%,1030,N/A
20210102,22:00,2,Clear,9,Wind blowing from 130° Southeast to Northwest,56%,1031,16
20210102,23:00,1,Passing clouds,9,Wind blowing from 100° East to West,60%,1030,N/A
20210103,00:00,-1,Clear,2,Wind blowing from 0° North to South,75%,1030,16
20210103,01:00,0,Clear,6,Wind blowing from 70° East-northeast to West-southwest,75%,1031,16
20210103,02:00,0,Clear,6,Wind blowing from 60° East-northeast to West-southwest,75%,1031,8
20210103,03:00,-1,Clear,9,Wind blowing from 50° Northeast to Southwest,80%,1030,7
20210103,04:00,-2,Ice fog,9,Wind blowing from 80° East to West,86%,1029,5
20210103,05:00,-1,Ice fog,9,Wind blowing from 60° East-northeast to West-southwest,86%,1030,5
20210103,06:00,-1,Ice fog,9,Wind blowing from 70° East-northeast to West-southwest,93%,1030,4
20210103,07:00,-1,Ice fog,6,Wind blowing from 60° East-northeast to West-southwest,93%,1031,3
20210103,08:00,0,Ice fog,17,Wind blowing from 80° East to West,93%,1031,3
20210103,09:00,2,Fog,20,Wind blowing from 80° East to West,87%,1031,3
20210103,10:00,6,Haze,17,Wind blowing from 90° East to West,76%,1031,5
